entertainment,Artist,URL
SM,NCT Dream,https://www.youtube.com/c/nctdream
SM,NCT 127,
SM,NCT,
SM,WayV,
SM,Aespa,
SM,EXO,
SM,Red Velvet,
SM,TVXQ!,
SM,Super Junior,
SM,Super M,
SM,Shinee,
SM,Girls Generation,
SM,BoA,
SM,기타,
JYP,TWICE,
JYP,NiziU,
JYP,StrayKids,
JYP,GOT7,
JYP,ITZY,
JYP,DAY6,
JYP,2PM,
YG,BlackPink,
YG,Treasurer,
YG,IKON,
YG,BIGBANG,
YG,WINNER,
YG,AKMU,
HYBE,BTS,
HYBE,Seventeen,
HYBE,TXT,
HYBE,GirlFriend,
HYBE,ENHYPEN,
HYBE,Fromis9,
HYBE,LE SSERAFIM,
HYBE,NewJeans,
HYBE,지코,
Kakao Ent.,IVE (아이브),
Kakao Ent.,더보이즈(THE BOYZ),
Kakao Ent.,골든차일드,
Kakao Ent.,Apink,
Kakao Ent.,몬스타엑스,
Kakao Ent.,우주소녀,
CJ ENM,ENHYPEN,
CJ ENM,JO1,
CJ ENM,INI,
CJ ENM,Kep1er,
CJ ENM,TO1,
CJ ENM,A.C.E,
CJ ENM,VIVIZ,
