이름,artist,image,link,month,producer,rank_status,ranking,sales_volume,title
조각집,아이유 (IU),https://circlechart.kr/uploadDir/albumImg/thumb/20220104_176E91E84500B5434F27B6E01C53B21B.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,EDAM엔터테인먼트,hot,16,,겨울잠
혼돈의 장: FREEZE,투모로우바이투게더,https://circlechart.kr/uploadDir/albumImg/thumb/20210608_9BF7B50B6D8796E4EA1EFAC0528B2EEB.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,BIGHIT MUSIC / HYBE,-21,109,,0X1=LOVESONG (I Know I Love You) (Feat. Seori)
조각집,아이유 (IU),https://circlechart.kr/uploadDir/albumImg/thumb/20220104_8949E4D075DAA57BCE0A21912208F037.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,EDAM엔터테인먼트,hot,62,,정거장
″TO INFINITY.″,MINO (송민호),https://circlechart.kr/uploadDir/albumImg/thumb/20211214_C498CB727B5547C166F5312DA24B64F8.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,YG Entertainment,-53,150,,탕!♡
Love poem,아이유 (IU),https://circlechart.kr/uploadDir/albumImg/thumb/B51229FC42FB4B7DA2B95A9696272D75.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,Kakao Entertainment,9,51,,Blueming
FIRST IMPACT,Kep1er (케플러),https://circlechart.kr/uploadDir/albumImg/thumb/20220111_9ADCCCA1E5C8E8CD549A9C753A902EFC.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,"WAKEONE, 스윙엔터테인먼트",new,117,,MVSK
R,로제 (ROSE),https://circlechart.kr/uploadDir/albumImg/thumb/20210316_D86DFD1641A1DACE6BE461A142808798.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,YG Entertainment,-2,106,,Gone
We play,Weeekly (위클리),https://circlechart.kr/uploadDir/albumImg/thumb/20210323_3EA53E48D5E1B23D288B696FDB212BFF.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,플레이엠엔터테인먼트,3,130,,After School
GUESS WHO,ITZY (있지),https://circlechart.kr/uploadDir/albumImg/thumb/20210504_8EBB6412D136836C2EE414E562D66190.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,JYP Entertainment,-16,92,,마.피.아. In the morning
MAP OF THE SOUL : 7,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/20200225_D761A443B009FE10F20CB4EC4FB74B5F.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,BIGHIT MUSIC / HYBE,-10,82,,ON
쇼미더머니 10 Semi Final,BE`O (비오),https://circlechart.kr/uploadDir/albumImg/thumb/20211130_9A94CAB9D496A99AC5A89A12171435A1.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,Stone Music Entertainment,-97,153,,MBTI (Feat. 쿠기 & 로꼬) (Prod. GRAY)
DIMENSION : DILEMMA,ENHYPEN,https://circlechart.kr/uploadDir/albumImg/thumb/20211019_25A128228669E93381519FED8CD4252A.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,빌리프랩,17,164,,모 아니면 도 (Go Big or Go Home)
One-reeler / Act IV,IZ*ONE (아이즈원),https://circlechart.kr/uploadDir/albumImg/thumb/20201215_908A815EF79DF7B76BC4C67E76B6D581.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,"OFF THE RECORD Entertainment, SWING Entertainment",-10,168,,Panorama
STEREOTYPE,STAYC(스테이씨),https://circlechart.kr/uploadDir/albumImg/thumb/20210914_2D97D97CBA2D57E56D041229B4D7CAD5.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,하이업엔터테인먼트,-13,52,,색안경 (STEREOTYPE)
