"﻿",company,artist,YOUTUBE_URL,TWITTER_URL,bladeYoutube,bladeTwitter,TWITTER_ID,TWITTER_NAME,t_followers,t_following,t_tweets
0,SM,NCT Dream,https://www.youtube.com/channel/UCXURHJRGr4-EB3l87kcbElw,https://twitter.com/nctsmtown_dream,https://socialblade.com/youtube/c/nctdream,https://socialblade.com/twitter/user/nctsmtown_dream,870188817537355800,nctsmtown_dream,9M,5,3577
1,SM,NCT 127,https://www.youtube.com/channel/UCk2E0dbAyEJWnrN2bbQOcbg,https://twitter.com/nctsmtown_127,https://socialblade.com/youtube/c/nct127,https://socialblade.com/twitter/user/nctsmtown_127,869875390465982500,nctsmtown_127,9M,5,6762
2,SM,NCT,https://www.youtube.com/channel/UCwgtORdDtUKhpjE1VBv6XfA,https://twitter.com/nctsmtown,https://socialblade.com/youtube/c/nctsmtown,https://socialblade.com/twitter/user/nctsmtown,4811011050,nctsmtown,10M,6,6736
3,SM,WayV,https://www.youtube.com/channel/UC-ZHt5Zgadfx-B1CM63Lqew,https://twitter.com/wayv_official,https://socialblade.com/youtube/c/wayv,https://socialblade.com/twitter/user/wayv_official,1033994695595065300,wayv_official,2M,0,1865
4,SM,Aespa,https://www.youtube.com/channel/UC9GtSLeksfK4yuJ_g1lgQbg,https://twitter.com/aespa_official,https://socialblade.com/youtube/c/aespa,https://socialblade.com/twitter/user/aespa_official,1277453652924366800,aespa_official,3M,2,2122
5,SM,EXO,https://www.youtube.com/channel/UCzCedBCSSltI1TFd3bKyN6g,https://twitter.com/weareoneexo,https://socialblade.com/youtube/c/exok,https://socialblade.com/twitter/user/weareoneexo,873115441303924700,weareoneexo,13M,4,4302
6,SM,Red Velvet,https://www.youtube.com/channel/UCk9GmdlDTBfgGRb7vXeRMoQ,https://twitter.com/rvsmtown,https://socialblade.com/youtube/c/redvelvet,https://socialblade.com/twitter/user/rvsmtown,873092428755894300,rvsmtown,6M,2,2999
7,SM,TVXQ!,https://www.youtube.com/channel/UC6dXhxQtzjlEGauwEGtLuSw,https://twitter.com/tvxq,https://socialblade.com/youtube/c/tvxq,https://socialblade.com/twitter/user/tvxq,893325893988302800,tvxq,335K,1,1260
8,SM,Super Junior,https://www.youtube.com/channel/UCFipx49muiJ8-d2YsnLlNVw,https://twitter.com/sjofficial,https://socialblade.com/youtube/c/superjunior,https://socialblade.com/twitter/user/sjofficial,965487301722701800,sjofficial,1M,10,5319
9,SM,Super M,https://www.youtube.com/channel/UCcjV926qiLr_Ghw6A0lTNjA,https://twitter.com/superm,https://socialblade.com/youtube/c/superm,https://socialblade.com/twitter/user/superm,1135806843773542400,superm,3M,8,1211
